elapsed_seconds,used_gib,stage
0.0011593319941312075,0.612548828125,startup
0.05264867201913148,0.612548828125,startup
0.10344203794375062,0.612548828125,startup
0.1550572010455653,0.612548828125,startup
0.20663571695331484,0.612548828125,startup
0.2569855459732935,0.612548828125,startup
0.30725784495007247,0.612548828125,startup
0.3671679999679327,0.612548828125,startup
0.43341552501078695,0.612548828125,startup
0.48447165195830166,0.612548828125,startup
0.5346833469811827,0.612548828125,startup
0.5849786519538611,0.612548828125,startup
0.6453154860064387,0.612548828125,startup
0.7107153040124103,0.612548828125,startup
0.7649893070338294,0.612548828125,startup
0.81745138799306,0.612548828125,startup
0.8849896920146421,0.612548828125,startup
0.9359219489851967,0.612548828125,startup
0.986156161990948,0.612548828125,startup
1.0363674230175093,0.612548828125,startup
1.0871987550053746,0.612548828125,startup
1.1480185920372605,0.612548828125,startup
1.1983487119432539,0.612548828125,startup
1.2506016000406817,0.612548828125,startup
1.3010698689613491,0.612548828125,startup
1.3838481899583712,0.612548828125,startup
1.4349476019851863,0.612548828125,startup
1.4851548549486324,0.612548828125,startup
1.5360556379891932,0.612548828125,startup
1.5867294650524855,0.612548828125,startup
1.6471530989510939,0.612548828125,startup
1.7119428210426122,0.612548828125,startup
1.7691756680142134,0.612548828125,startup
1.8705669740447775,0.612548828125,startup
2.0074475470464677,0.612548828125,startup
2.0727993339532986,0.612548828125,startup
2.1286674139555544,0.612548828125,startup
2.1826376620447263,0.612548828125,startup
2.2329071189742535,0.612548828125,startup
2.283647233969532,0.612548828125,startup
2.3340766939800233,0.612548828125,startup
2.38530115399044,0.612548828125,startup
2.435512008960359,0.612548828125,startup
2.486041237018071,0.612548828125,startup
2.540618808940053,0.612548828125,startup
2.595995608018711,0.612548828125,startup
2.647411828977056,0.612548828125,startup
2.697876011952758,0.612548828125,startup
2.7483993410132825,0.612548828125,startup
2.800623162998818,0.612548828125,startup
2.8514660799410194,0.612548828125,startup
2.901858525001444,0.612548828125,startup
2.952001633006148,0.612548828125,startup
3.0022962680086493,0.612548828125,startup
3.0527578470064327,0.612548828125,startup
3.103024950949475,0.612548828125,startup
3.153306183987297,0.612548828125,startup
3.2728187519824132,0.612548828125,startup
3.323018384980969,0.612548828125,startup
3.374271012027748,0.612548828125,startup
3.4256987869739532,0.612548828125,startup
3.4762383160414174,0.612548828125,startup
3.5272097419947386,0.612548828125,startup
3.5785889639519155,0.612548828125,startup
3.6355288380291313,0.612548828125,startup
3.6861106449505314,0.612548828125,startup
3.7387356519466266,0.612548828125,startup
3.7892503009643406,0.612548828125,startup
3.8394528209464625,0.612548828125,startup
3.8913243239512667,0.612548828125,startup
3.943077174015343,0.612548828125,startup
3.994381924974732,0.612548828125,startup
4.044708047993481,0.612548828125,startup
4.0948265889892355,0.612548828125,startup
4.14494944200851,0.612548828125,startup
4.195459526032209,0.62896728515625,startup
4.245599040994421,0.70953369140625,startup
4.295875894953497,1.06695556640625,load_cached_training_backbone
4.346146162017249,1.06695556640625,load_cached_training_backbone
4.396615872043185,1.06695556640625,load_cached_training_backbone
4.446852977038361,1.06695556640625,load_cached_training_backbone
4.497016560053453,1.06695556640625,load_cached_training_backbone
4.547888200962916,1.06695556640625,load_cached_training_backbone
4.598358036950231,1.06695556640625,load_cached_training_backbone
4.6486577009782195,1.06695556640625,load_cached_training_backbone
4.698916935012676,1.06695556640625,load_cached_training_backbone
4.749160888954066,1.06695556640625,load_cached_training_backbone
4.799888934008777,1.06695556640625,load_cached_training_backbone
4.850276952027343,1.06695556640625,load_cached_training_backbone
4.900432570022531,1.06695556640625,load_cached_training_backbone
4.950830845045857,1.06695556640625,load_cached_training_backbone
5.001070722006261,1.06695556640625,load_cached_training_backbone
5.051198182976805,1.06695556640625,load_cached_training_backbone
5.220980059006251,1.06695556640625,load_cached_training_backbone
5.271289305994287,1.06695556640625,load_cached_training_backbone
5.322103598038666,1.06695556640625,load_cached_training_backbone
5.372250237967819,1.49078369140625,load_cached_training_backbone
5.422402751981281,1.62945556640625,load_cached_training_backbone
5.472571094986051,1.95758056640625,load_cached_training_backbone
5.522750203032047,2.25836181640625,load_cached_training_backbone
5.572912315954454,2.54937744140625,load_cached_training_backbone
5.6230764359934255,2.83258056640625,load_cached_training_backbone
5.673238847986795,3.14117431640625,load_cached_training_backbone
5.723392762010917,3.42633056640625,load_cached_training_backbone
5.7735621619503945,3.76226806640625,load_cached_training_backbone
5.823720299988054,4.08843994140625,load_cached_training_backbone
5.8738741090055555,4.44390869140625,load_cached_training_backbone
5.924028965993784,4.74468994140625,load_cached_training_backbone
5.974197741015814,5.07281494140625,load_cached_training_backbone
6.024361251038499,5.40093994140625,load_cached_training_backbone
6.074518205947243,5.72906494140625,load_cached_training_backbone
6.12467802898027,5.85015869140625,adapter_optimizer_setup
6.174822179949842,5.85015869140625,adapter_optimizer_setup
6.224964487948455,5.85015869140625,adapter_optimizer_setup
6.275395384989679,5.85015869140625,adapter_optimizer_setup
6.325615850975737,5.85015869140625,adapter_optimizer_setup
6.375762830954045,5.85015869140625,adapter_optimizer_setup
6.425910749007016,5.85015869140625,adapter_optimizer_setup
6.476057988940738,5.85015869140625,adapter_optimizer_setup
6.526205847039819,5.85015869140625,adapter_optimizer_setup
6.576347018941306,5.85015869140625,adapter_optimizer_setup
6.626490838942118,5.85015869140625,adapter_optimizer_setup
6.67664241802413,5.85015869140625,adapter_optimizer_setup
6.7267899319995195,5.85015869140625,adapter_optimizer_setup
6.776940542971715,5.86968994140625,adapter_optimizer_setup
6.827110316953622,6.10406494140625,adapter_optimizer_setup
6.877271277015097,6.29937744140625,adapter_optimizer_setup
7.010345280985348,6.33843994140625,between_stages
7.0605384319787845,6.33843994140625,between_stages
7.110697231022641,6.35797119140625,between_stages
7.160852106986567,6.35797119140625,between_stages
7.211005224031396,6.35797119140625,between_stages
7.261155814980157,6.35797119140625,between_stages
7.311303384951316,6.35797119140625,between_stages
7.361452450044453,6.35797119140625,between_stages
7.642584200017154,6.35797119140625,between_stages
7.692739167949185,6.35797119140625,between_stages
7.742886365973391,6.35797119140625,between_stages
7.7930341210449114,6.35797119140625,between_stages
7.84318288101349,6.35797119140625,between_stages
7.893327938043512,6.35797119140625,between_stages
7.943471239996143,6.35797119140625,between_stages
7.997809750027955,6.35797119140625,between_stages
8.04796046402771,6.35797119140625,between_stages
8.098101263050921,6.35797119140625,between_stages
8.148225434008054,6.35797119140625,between_stages
8.198346968041733,6.35797119140625,between_stages
8.248461631010287,6.35797119140625,between_stages
8.29857541702222,6.35797119140625,between_stages
8.348694321000949,6.35797119140625,between_stages
8.398829209036194,6.35797119140625,between_stages
8.448951784987003,6.35797119140625,between_stages
8.499610846978612,6.35797119140625,between_stages
8.549722356023267,6.35797119140625,between_stages
8.599839485017583,6.35797119140625,between_stages
8.649959934991784,6.35797119140625,between_stages
8.70009449403733,6.35797119140625,between_stages
8.750224823947065,6.35797119140625,between_stages
8.800340423011221,6.35797119140625,between_stages
8.850461822003126,6.35797119140625,between_stages
8.902646051021293,6.35797119140625,between_stages
8.952848623972386,6.35797119140625,between_stages
9.00296819396317,6.35797119140625,between_stages
9.053081779042259,6.35797119140625,between_stages
9.103593506035395,6.35797119140625,between_stages
9.1565849770559,6.35797119140625,between_stages
9.206707641948014,6.35797119140625,between_stages
9.256825705990195,6.35797119140625,between_stages
9.306940256035887,6.35797119140625,between_stages
9.357993536046706,6.35797119140625,between_stages
9.410987582989037,6.35797119140625,between_stages
9.461109161027707,6.35797119140625,between_stages
9.511222530971281,6.35797119140625,between_stages
9.561333791003563,6.35797119140625,between_stages
9.612671292037703,6.35797119140625,between_stages
9.66580887697637,6.35797119140625,between_stages
9.715939185000025,6.35797119140625,between_stages
9.766061375034042,6.35797119140625,between_stages
9.816178209963255,6.35797119140625,between_stages
9.866811941959895,6.35797119140625,between_stages
9.91975497698877,6.35797119140625,between_stages
9.96988007798791,6.35797119140625,between_stages
10.019995225942694,6.35797119140625,between_stages
10.070109599968418,6.35797119140625,between_stages
10.121544042020105,6.35797119140625,between_stages
10.174314531963319,6.35797119140625,between_stages
10.224434596952051,6.35797119140625,between_stages
10.274553206982091,6.35797119140625,between_stages
10.32466593105346,6.35797119140625,between_stages
10.37519335304387,6.35797119140625,between_stages
10.42804824502673,6.35797119140625,between_stages
10.47819467796944,6.35797119140625,between_stages
10.528310357942246,6.35797119140625,between_stages
10.578436058014631,6.35797119140625,between_stages
10.628589016967453,6.35797119140625,between_stages
10.681458577979356,6.35797119140625,between_stages
10.731591481948271,6.35797119140625,between_stages
10.781709832022898,6.35797119140625,between_stages
10.831823996035382,6.35797119140625,between_stages
10.881939854007214,6.35797119140625,between_stages
10.934430781984702,6.35797119140625,between_stages
10.98457008600235,6.35797119140625,between_stages
11.034688315005042,6.35797119140625,between_stages
11.084803184960037,6.35797119140625,between_stages
11.139197206008248,6.35797119140625,between_stages
11.192933200043626,6.35797119140625,between_stages
11.243052923004143,6.35797119140625,between_stages
11.293168522999622,6.35797119140625,between_stages
11.343820190988481,6.35797119140625,between_stages
11.39407914399635,6.35797119140625,between_stages
11.444199198042043,6.35797119140625,between_stages
11.494311808026396,6.35797119140625,between_stages
11.54630989197176,6.35797119140625,between_stages
11.596424340037629,6.35797119140625,between_stages
11.646561008994468,6.35797119140625,between_stages
11.696693878970109,6.35797119140625,between_stages
11.746814989019185,6.35797119140625,between_stages
11.79693082801532,6.35797119140625,between_stages
11.847049255971797,6.35797119140625,between_stages
11.897167016053572,6.35797119140625,between_stages
11.947278870968148,6.35797119140625,between_stages
11.997388085001148,6.35797119140625,between_stages
12.04750631400384,6.35797119140625,between_stages
12.097634683945216,6.35797119140625,between_stages
12.147878222051077,6.35797119140625,between_stages
12.198689879034646,6.35797119140625,between_stages
12.248809103039093,6.35797119140625,between_stages
12.298926386982203,6.35797119140625,between_stages
12.349041447043419,6.35797119140625,between_stages
12.404781954013743,6.35797119140625,between_stages
12.454903480946086,6.35797119140625,between_stages
12.505020917975344,6.35797119140625,between_stages
12.55513215600513,6.35797119140625,between_stages
12.610895933001302,6.35797119140625,between_stages
12.661017164005898,6.35797119140625,between_stages
12.711140927975066,6.35797119140625,between_stages
12.761261151055805,6.35797119140625,between_stages
12.817938935011625,6.35797119140625,between_stages
12.868098675040528,6.35797119140625,between_stages
12.918220894993283,6.35797119140625,between_stages
12.968354403041303,6.35797119140625,between_stages
13.025337725994177,6.35797119140625,between_stages
13.075460160034709,6.35797119140625,between_stages
13.125579220009968,6.35797119140625,between_stages
13.175692970049568,6.35797119140625,between_stages
13.23191530094482,6.35797119140625,between_stages
13.2820337950252,6.35797119140625,between_stages
13.332158443052322,6.35797119140625,between_stages
13.382276781951077,6.35797119140625,between_stages
13.438185520004481,6.35797119140625,between_stages
13.488302099052817,6.35797119140625,between_stages
13.538416033028625,6.35797119140625,between_stages
13.589252620004117,6.35797119140625,between_stages
13.639367635012604,6.35797119140625,between_stages
13.68949098396115,6.35797119140625,between_stages
13.739624966983683,6.56695556640625,zero_equivalence_validation
13.78975635196548,6.56695556640625,zero_equivalence_validation
13.839881674968638,7.57086181640625,zero_equivalence_validation
13.890000478946604,7.57086181640625,zero_equivalence_validation
13.940111894975416,7.57086181640625,zero_equivalence_validation
13.990236078971066,7.57281494140625,zero_equivalence_validation
14.040361981955357,7.57476806640625,zero_equivalence_validation
14.09048693603836,7.58258056640625,zero_equivalence_validation
14.14060772000812,7.58258056640625,zero_equivalence_validation
14.190732973976992,7.58258056640625,zero_equivalence_validation
14.240986894001253,7.58258056640625,zero_equivalence_validation
14.291123843053356,7.58258056640625,zero_equivalence_validation
14.341263666981831,7.58258056640625,zero_equivalence_validation
14.540071008028463,7.58258056640625,between_stages
14.590245887055062,7.70953369140625,first_forward
14.640452452003956,7.70953369140625,first_forward
14.690604944946244,7.70953369140625,first_backward
14.74074339796789,7.71734619140625,first_backward
14.790866783005185,7.71734619140625,first_backward
14.840993452002294,7.71734619140625,first_backward
14.891139945946634,7.71734619140625,first_backward
14.941275284043513,7.72711181640625,first_backward
14.991397295030765,7.72711181640625,first_backward
15.041540528996848,7.72711181640625,first_backward
15.091674473020248,7.72906494140625,first_backward
15.141796395997517,9.62750244140625,first_backward
15.191914106020704,9.62750244140625,first_backward
15.242035666015,9.62750244140625,first_optimizer
15.292170119006187,9.62750244140625,steady_train
15.342367363045923,9.62750244140625,steady_train
15.39284085703548,9.62750244140625,steady_train
15.443009719019756,9.62750244140625,steady_train
15.493172719026916,9.62750244140625,steady_train
15.54330800799653,10.25445556640625,steady_train
15.593456331989728,10.25445556640625,steady_train
15.644132119952701,10.25445556640625,steady_train
15.694290018989705,10.25445556640625,steady_train
15.744697566027753,10.25445556640625,steady_train
15.79501133505255,10.25445556640625,steady_train
15.845172600005753,10.25445556640625,steady_train
15.89530199894216,10.50640869140625,steady_train
15.945438317023218,10.50640869140625,steady_train
15.99557361099869,10.50640869140625,between_stages
16.04569120099768,10.50640869140625,between_stages
16.095804829034023,10.50640869140625,between_stages
16.145919568953104,10.50640869140625,between_stages
16.196029926999472,10.50640869140625,between_stages
16.477799869026057,10.50640869140625,between_stages
16.527921973960474,10.50640869140625,between_stages
16.57803780201357,10.50640869140625,between_stages
16.628163355984725,10.50640869140625,between_stages
16.678290336043574,10.50640869140625,between_stages
16.728409750037827,10.50640869140625,between_stages
16.778522918000817,10.50640869140625,between_stages
16.830482637044042,10.50640869140625,between_stages
16.880642691045068,10.50640869140625,between_stages
16.930762844043784,10.50640869140625,between_stages
16.980883628944866,10.50640869140625,between_stages
17.031020132941194,10.50640869140625,between_stages
17.08116295200307,10.50640869140625,between_stages
17.1313099010149,10.50640869140625,between_stages
17.181432888959534,10.50640869140625,between_stages
17.23156874300912,10.50640869140625,between_stages
17.281690152944066,10.50640869140625,between_stages
17.333264691988006,10.50640869140625,between_stages
17.383379522012547,10.50640869140625,between_stages
17.43349879095331,10.50640869140625,between_stages
17.483618124038912,10.50640869140625,between_stages
17.53373638901394,10.50640869140625,between_stages
17.583857747958973,10.50640869140625,between_stages
17.633974966942333,10.50640869140625,between_stages
17.68409391003661,10.50640869140625,between_stages
17.734212665003724,10.50640869140625,between_stages
17.78433858405333,10.50640869140625,between_stages
17.834450957016088,10.50640869140625,between_stages
17.884562992025167,10.50640869140625,between_stages
17.93467726104427,10.50640869140625,between_stages
17.98479420505464,10.50640869140625,between_stages
18.03491428901907,10.50640869140625,between_stages
18.085035688010976,10.50640869140625,between_stages
18.135153027018532,10.50640869140625,between_stages
18.185859684017487,10.50640869140625,between_stages
18.235978294047527,10.50640869140625,between_stages
18.286442926037125,10.50640869140625,between_stages
18.336590679944493,10.50640869140625,between_stages
18.38670562300831,10.50640869140625,between_stages
18.438065930036828,10.50640869140625,between_stages
18.488182532950304,10.50640869140625,between_stages
18.53889473597519,10.50640869140625,between_stages
18.589009110000916,10.50640869140625,between_stages
18.63911973393988,10.50640869140625,between_stages
18.69014211499598,10.50640869140625,between_stages
18.740264283958822,10.50640869140625,between_stages
18.79038370202761,10.50640869140625,between_stages
18.84112198499497,10.50640869140625,between_stages
18.891232918016613,10.50640869140625,between_stages
18.942467279033735,10.50640869140625,between_stages
18.99258404795546,10.50640869140625,between_stages
19.042704902007245,10.50640869140625,between_stages
19.09343893395271,10.50640869140625,between_stages
19.143564208992757,10.50640869140625,between_stages
19.194912933045998,10.50640869140625,between_stages
19.24503036297392,10.50640869140625,between_stages
19.295308192027733,10.50640869140625,between_stages
19.345467412029393,10.50640869140625,between_stages
19.395616980968043,10.50640869140625,between_stages
19.449119262048043,10.50640869140625,between_stages
19.49925453704782,10.50640869140625,between_stages
19.5494930150453,10.50640869140625,between_stages
19.59960741503164,10.50640869140625,between_stages
19.64972047205083,10.50640869140625,between_stages
19.700910232961178,10.50640869140625,between_stages
19.75103783805389,10.50640869140625,between_stages
19.801179926958866,10.50640869140625,between_stages
19.851307890960015,10.50640869140625,between_stages
19.901425144984387,10.50640869140625,between_stages
19.953132894006558,10.50640869140625,between_stages
20.003251558053307,10.50640869140625,between_stages
20.053379197022878,10.50640869140625,between_stages
20.10349846095778,10.50640869140625,between_stages
20.153608990018256,10.50640869140625,between_stages
20.203725544037297,10.50640869140625,between_stages
20.253849202999845,10.50640869140625,between_stages
20.303966365056112,10.50640869140625,between_stages
20.355730658979155,10.50640869140625,between_stages
20.40585005795583,10.50640869140625,between_stages
20.456679016002454,10.50640869140625,between_stages
20.506791759980842,10.50640869140625,between_stages
20.55690660898108,10.50640869140625,between_stages
20.607035152963363,10.50640869140625,between_stages
20.66071239102166,10.50640869140625,between_stages
20.710851809941232,10.50640869140625,between_stages
20.760980959050357,10.50640869140625,between_stages
20.812674437998794,10.50640869140625,between_stages
20.864661355968565,10.50640869140625,between_stages
20.91477519494947,10.50640869140625,between_stages
20.965086332987994,10.50640869140625,between_stages
21.015246146940626,10.50640869140625,between_stages
21.065384155954234,10.50640869140625,between_stages
21.121404077042826,10.50640869140625,between_stages
21.17154831602238,10.50640869140625,between_stages
21.221672035055235,10.50640869140625,between_stages
21.27179215301294,10.50640869140625,between_stages
21.329874683986418,10.50640869140625,between_stages
21.37999506597407,10.50640869140625,between_stages
21.43010908504948,10.50640869140625,between_stages
21.48022690496873,10.50640869140625,between_stages
21.530346013023518,10.50640869140625,between_stages
21.580463242949918,10.50640869140625,between_stages
21.630573721951805,10.50640869140625,between_stages
21.68070133496076,10.50640869140625,between_stages
21.73083343799226,10.50640869140625,between_stages
21.780947447987273,10.50640869140625,between_stages
21.83105782594066,10.50640869140625,between_stages
21.881175555987284,10.50640869140625,between_stages
21.93129263597075,10.50640869140625,between_stages
21.983413717942312,10.50640869140625,between_stages
22.033525791950524,10.50640869140625,between_stages
22.083657401963137,10.50640869140625,between_stages
22.133775520022027,10.50640869140625,between_stages
22.18388829298783,10.50640869140625,between_stages
22.234002631972544,10.50640869140625,between_stages
22.284120309981517,10.50640869140625,between_stages
22.334234033944085,10.50640869140625,between_stages
22.38457212294452,10.50640869140625,between_stages
22.435134636005387,10.50640869140625,between_stages
22.485247920034453,10.50640869140625,between_stages
22.53536015294958,10.50640869140625,between_stages
22.58547675597947,10.50640869140625,between_stages
22.635593350045383,10.50640869140625,between_stages
22.685718009946868,10.50640869140625,between_stages
22.735838638967834,10.50640869140625,between_stages
22.785950561985373,10.50640869140625,between_stages
22.83606325602159,10.50640869140625,between_stages
22.88618295395281,10.50640869140625,between_stages
22.936296124011278,10.50640869140625,between_stages
22.98640804295428,10.50640869140625,between_stages
23.036519560031593,10.50640869140625,between_stages
23.08664153004065,10.50640869140625,between_stages
23.136753128957935,10.50640869140625,between_stages
